Sample_Name;COSMIC_ID;Cancer_Type;Microsatellite_Instability_Status;Screen_Medium;Growth_Properties
BE-13;906763;ALL;MSS/MSI-L;R;Suspension
CCRF-CEM;905952;ALL;MSS/MSI-L;R;Suspension
GR-ST;906877;ALL;MSI-H;R;Suspension
HAL-01;949153;ALL;MSS/MSI-L;R;Suspension
KARPAS-45;907272;ALL;MSS/MSI-L;R;Suspension
KE-37;907277;ALL;MSS/MSI-L;R;Suspension
LC4-1;907787;ALL;MSS/MSI-L;R;Suspension
MOLT-4;905958;ALL;MSI-H;R;Suspension
P30-OHK;909252;ALL;MSI-H;R;Suspension
SUP-B15;1247871;ALL;MSS/MSI-L;D/F12;Suspension
ATN-1;910687;ALL;MSS/MSI-L;R;Suspension
LOUCY;907789;ALL;MSS/MSI-L;R;Suspension
MOLT-13;908146;ALL;MSI-H;R;Suspension
MOLT-16;908147;ALL;MSS/MSI-L;R;Suspension
P12-ICHIKAWA;909251;ALL;MSS/MSI-L;R;Suspension
PF-382;909260;ALL;MSS/MSI-L;R;Suspension
RPMI-8402;909702;ALL;MSS/MSI-L;R;Suspension
SUP-T1;909743;ALL;MSS/MSI-L;R;Suspension
DEL;906836;;MSS/MSI-L;R;Suspension
EHEB;906854;CLL;MSS/MSI-L;R;Suspension
EJM;1297447;MM;MSS/MSI-L;D/F12;Semi-Adherent
H9;907043;;MSS/MSI-L;R;Suspension
JVM-2;907269;CLL;MSS/MSI-L;R;Suspension
JVM-3;907270;CLL;MSS/MSI-L;R;Suspension
SR;905965;;MSS/MSI-L;R;Suspension
WIL2-NS;1331049;;MSS/MSI-L;R;Suspension
WSU-NHL;909785;;MSI-H;R;Suspension
YT;946358;ALL;MSS/MSI-L;D/F12;Suspension
ARH-77;906765;MM;MSS/MSI-L;R;Suspension
IM-9;753563;MM;MSS/MSI-L;R;Suspension
KMS-12-BM;907281;MM;MSS/MSI-L;R;Suspension
L-363;924239;MM;MSS/MSI-L;R;Suspension
LP-1;907791;MM;MSS/MSI-L;D/F12;Suspension
MM1S;1659818;MM;MSS/MSI-L;R;Suspension
MOLP-8;1330950;MM;MSS/MSI-L;R;Suspension
NCI-H929;724825;MM;MSS/MSI-L;R;Suspension
OPM-2;909249;MM;MSS/MSI-L;R;Suspension
RPMI-8226;905964;MM;MSS/MSI-L;R;Suspension
SK-MM-2;753612;MM;MSS/MSI-L;R;Suspension
U-266;753615;MM;MSS/MSI-L;R;Semi-Adherent
ALL-SIL;1295740;ALL;MSS/MSI-L;R;Suspension
DND-41;1297446;ALL;MSI-H;R;Suspension
HH;907056;;MSS/MSI-L;R;Suspension
Jurkat;998184;ALL;MSI-H;R;Suspension
CS1;1290795;;MSS/MSI-L;R;Adherent
SJSA-1;909717;;MSS/MSI-L;R;Adherent
CAL-78;1290765;;MSS/MSI-L;R;Adherent
CHSA8926;1303912;;MSS/MSI-L;R;Adherent
H-EMC-SS;907290;;MSS/MSI-L;D/F12;Adherent
CADO-ES1;753539;;MSS/MSI-L;R;Suspension
ES1;949158;;MSS/MSI-L;R;Adherent
ES3;684055;;MSS/MSI-L;R;Adherent
ES4;949156;;MSS/MSI-L;R;Adherent
ES5;684057;;MSS/MSI-L;R;Adherent
ES7;684059;;MSS/MSI-L;R;Adherent
ES8;949155;;MSS/MSI-L;R;Adherent
EW-1;949163;;MSS/MSI-L;R;Semi-Adherent
EW-11;684062;;MSS/MSI-L;R;Adherent
EW-12;949162;;MSS/MSI-L;R;Suspension
EW-13;949166;;MSS/MSI-L;R;Suspension
EW-16;949165;;MSS/MSI-L;R;Adherent
EW-18;949164;;MSS/MSI-L;R;Suspension
EW-22;949167;;MSS/MSI-L;R;Adherent
EW-24;949168;;MSS/MSI-L;R;Semi-Adherent
EW-3;949161;;MSS/MSI-L;R;Adherent
EW-7;949160;;MSS/MSI-L;R;Semi-Adherent
SK-ES-1;684072;;MSS/MSI-L;R;Semi-Adherent
SK-PN-DW;909731;;MSS/MSI-L;D/F12;Adherent
TC-71;1240221;;MSS/MSI-L;D/F12;Adherent
CAL-72;906827;;MSS/MSI-L;D/F12;Adherent
G-292 Clone A141B1;1290807;;MSS/MSI-L;R;Adherent
HOS;907060;;MSS/MSI-L;D/F12;Adherent
HuO-3N1;909977;;MSS/MSI-L;R;Adherent
HuO9;907072;;MSS/MSI-L;R;Adherent
MG-63;908131;;MSS/MSI-L;D/F12;Adherent
NOS-1;925345;;MSS/MSI-L;R;Adherent
NY;910849;;MSS/MSI-L;D/F12;Adherent
Saos-2;909707;;MSS/MSI-L;R;Adherent
U-2-OS;909776;;MSS/MSI-L;R;Adherent
AU565;910704;BRCA;MSS/MSI-L;R;Adherent
BT-20;906801;BRCA;MSS/MSI-L;D/F12;Adherent
BT-474;946359;BRCA;MSS/MSI-L;R;Adherent
BT-483;949093;BRCA;MSS/MSI-L;R;Adherent
BT-549;905951;BRCA;MSS/MSI-L;R;Adherent
CAL-120;906826;BRCA;MSS/MSI-L;D/F12;Adherent
CAL-148;924106;BRCA;MSS/MSI-L;D/F12;Suspension
CAL-51;910927;BRCA;MSS/MSI-L;D/F12;Adherent
CAL-85-1;910852;BRCA;MSS/MSI-L;D/F12;Adherent
CAMA-1;946382;BRCA;MSS/MSI-L;D/F12;Adherent
COLO-824;906812;BRCA;MSS/MSI-L;R;Adherent
DU-4475;906844;BRCA;MSS/MSI-L;R;Suspension
EFM-19;906851;BRCA;MSS/MSI-L;R;Adherent
EFM-192A;1290798;BRCA;MSS/MSI-L;R;Adherent
EVSA-T;906862;BRCA;MSS/MSI-L;D/F12;Adherent
HCC1143;749710;BRCA;MSS/MSI-L;R;Adherent
HCC1187;749711;BRCA;MSS/MSI-L;R;Suspension
HCC1395;749712;BRCA;MSS/MSI-L;R;Adherent
HCC1419;907045;BRCA;MSS/MSI-L;R;Adherent
HCC1428;1290905;BRCA;MSS/MSI-L;R;Adherent
HCC1500;1303900;BRCA;MSS/MSI-L;R;Adherent
HCC1569;907046;BRCA;MSI-H;R;Adherent
HCC1599;749713;BRCA;MSS/MSI-L;R;Suspension
HCC1806;907047;;MSS/MSI-L;R;Adherent
HCC1937;749714;BRCA;MSS/MSI-L;R;Adherent
HCC1954;749709;BRCA;MSS/MSI-L;R;Adherent
HCC202;1290906;BRCA;MSS/MSI-L;R;Adherent
HCC2157;749715;BRCA;MSS/MSI-L;D/F12;Suspension
HCC2218;749716;BRCA;MSS/MSI-L;R;Suspension
HCC38;749717;BRCA;MSS/MSI-L;R;Adherent
HCC70;907048;BRCA;MSS/MSI-L;R;Adherent
HDQ-P1;1290922;BRCA;MSS/MSI-L;D/F12;Adherent
Hs-578-T;905957;BRCA;MSS/MSI-L;D/F12;Adherent
7 MCF;905946;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-157;925338;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-231;905960;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-330;1330941;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-361;908121;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-415;924240;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-436;1240172;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-453;908122;BRCA;MSS/MSI-L;D/F12;Adherent
MDA-MB-468;908123;BRCA;MSS/MSI-L;D/F12;Adherent
MFM-223;910948;BRCA;MSS/MSI-L;D/F12;Adherent
MRK-nu-1;908151;BRCA;MSS/MSI-L;D/F12;Suspension
OCUB-M;909256;BRCA;MSS/MSI-L;D/F12;Adherent
T47D;905945;BRCA;MSS/MSI-L;R;Adherent
UACC-812;910910;BRCA;MSS/MSI-L;D/F12;Adherent
UACC-893;909778;BRCA;MSS/MSI-L;D/F12;Adherent
ZR-75-30;909907;BRCA;MSS/MSI-L;R;Adherent
EGI-1;906853;;MSS/MSI-L;D/F12;Adherent
ETK-1;906861;;MSS/MSI-L;R;Adherent
HuCCT1;907069;;MSS/MSI-L;R;Adherent
TGBC1TKB;909769;;MSS/MSI-L;D/F12;Adherent
TGBC24TKB;910695;;MSS/MSI-L;D/F12;Adherent
HUTU-80;907073;;MSS/MSI-L;D/F12;Adherent
C2BBe1;910700;COAD/READ;MSS/MSI-L;D/F12;Adherent
CaR-1;924108;COAD/READ;MSS/MSI-L;D/F12;Adherent
CCK-81;1240123;COAD/READ;MSI-H;R;Adherent
CL-11;1290769;COAD/READ;MSS/MSI-L;D/F12;Adherent
CL-40;1240124;COAD/READ;MSS/MSI-L;D/F12;Adherent
COLO-205;905961;COAD/READ;MSS/MSI-L;R;Suspension
COLO-320-HSR;910569;COAD/READ;MSS/MSI-L;R;Suspension
COLO-678;910689;COAD/READ;MSS/MSI-L;R;Semi-Adherent
CW-2;910554;COAD/READ;MSI-H;R;Adherent
GP5d;907291;COAD/READ;MSI-H;D/F12;Adherent
HCC2998;905971;COAD/READ;MSS/MSI-L;R;Adherent
