COSMIC_ID,Drug_1,Drug_2,Drug_3,Drug_4
949176,0.782004095,1.532794976,1.506214535,1.372982678
1240181,1.316899139,1.995248212,0.817247077,1.117123265
908467,1.78364181,1.838442405,1.717094118,0.687758199
753599,2.193201079,2.237505662,2.664743519,1.146487684
908469,2.133484499,1.897932484,1.537510693,1.446070533
688006,1.930590869,2.1289942,1.589241324,1.276592392
687804,1.851475943,1.960705791,1.350452793,1.137832247
1330972,2.058878288,2.024212186,1.080862832,1.372472133
688023,2.09894647,1.905229,1.389591805,1.505514007
908483,1.63124574,1.749118078,2.504879797,1.000792679
908457,0.938752619,1.451517056,1.360387293,1.611233015
908449,1.152493156,-0.525012447,1.594277577,1.399546327
1290455,0.815986284,0.899280138,-0.109820997,1.072781785
1330984,0.233340691,0.022800621,0.483682135,1.091527723
909256,1.431290525,1.457639344,1.369157596,0.887610396
909250,0.75017788,2.096188483,2.187138912,1.32672107
905990,2.002753883,2.189984061,1.666900293,1.544941062
971773,1.406926557,0.646934922,-0.025903317,0.748509353
724872,0.679135638,1.860399244,1.252342443,1.32674798
909723,1.519624123,-1.374251039,2.437340122,0.970560274
905982,2.471327101,2.420838072,1.626538327,1.515737056
753623,1.932067048,1.249963117,0.987426855,1.19205947
946353,1.882931908,1.9352517,1.74754366,1.494822488
910780,1.587138656,1.802368219,1.079706561,1.13434326
909773,1.74936413,1.134173927,0.106876741,0.927049372
946359,2.088496431,1.586368152,1.597198085,1.606507983
910554,1.261498396,2.288366036,0.8982776,1.526057748
906862,1.819414564,1.869202195,1.496994591,1.21892176
949165,0.925152803,1.405976887,1.717163258,1.3140205
906877,1.295598911,0.847867382,1.345431342,1.572406833
749716,1.764148622,2.359454607,1.07358658,1.716992659
753618,1.858154924,1.725140879,-0.026508719,1.14650803
905989,1.293586091,1.49183615,0.765883967,1.525883556
909975,2.209389117,2.244772152,1.80155667,1.607302311
753592,1.608906513,1.581276462,1.914099095,0.693028015
683665,1.006530065,1.105083247,0.063384881,1.034163875
908142,1.772611572,0.595144122,0.993547931,0.61454849
